ENGINEERING_INSTITUTE,LAW_UNIVERSITY
Indraprastha Institute of Information Technology DelhiMore Details |  |,Jamia Millia IslamiaMore Details |  |
Indraprastha Institute of Information Technology DelhiMore Details |  |,Indian Law InstituteMore Details |  |
Jawaharlal Nehru Technological UniversityMore Details |  |,Nalsar University of LawMore Details |  |
M. S. Ramaiah Institute of TechnologyMore Details |  |,National Law School of India UniversityMore Details |  |
M. S. Ramaiah Institute of TechnologyMore Details |  |,Christ UniversityMore Details |  |
International Institute of Information Technology BangaloreMore Details |  |,National Law School of India UniversityMore Details |  |
International Institute of Information Technology BangaloreMore Details |  |,Christ UniversityMore Details |  |
Defence Institute of Advanced TechnologyMore Details |  |,Symbiosis Law SchoolMore Details |  |
Maulana Azad National Institute of TechnologyMore Details |  |,"National Law Institute University, BhopalMore Details |  |"
Indian Institute of Information Technology GuwahatiMore Details |  |,National Law University and Judicial AcademyMore Details |  |
Punjab Engineering College (Deemed To Be University)More Details |  |,Panjab UniversityMore Details |  |
R. V. College of EngineeringMore Details |  |,National Law School of India UniversityMore Details |  |
R. V. College of EngineeringMore Details |  |,Christ UniversityMore Details |  |
Veermata Jijabai Technological InstituteMore Details |  |,Symbiosis Law SchoolMore Details |  |
Panjab UniversityMore Details |  |,Panjab UniversityMore Details |  |
B.M.S. College of EngineeringMore Details |  |,National Law School of India UniversityMore Details |  |
B.M.S. College of EngineeringMore Details |  |,Christ UniversityMore Details |  |
Netaji Subhas University of Technology (NSUT)More Details |  |,National Law UniversityMore Details |  |
Netaji Subhas University of Technology (NSUT)More Details |  |,Jamia Millia IslamiaMore Details |  |
Netaji Subhas University of Technology (NSUT)More Details |  |,Indian Law InstituteMore Details |  |
Indian Institute of Information Technology Design & Manufacturing JabalpurMore Details |  |,"National Law Institute University, BhopalMore Details |  |"
Chandigarh UniversityMore Details |  |,The Rajiv Gandhi National University of LawMore Details |  |
Guru Gobind Singh Indraprastha UniversityMore Details |  |,National Law UniversityMore Details |  |
Guru Gobind Singh Indraprastha UniversityMore Details |  |,Jamia Millia IslamiaMore Details |  |
Guru Gobind Singh Indraprastha UniversityMore Details |  |,Indian Law InstituteMore Details |  |
Lovely Professional UniversityMore Details |  |,The Rajiv Gandhi National University of LawMore Details |  |
University College of EngineeringMore Details |  |,Nalsar University of LawMore Details |  |
Siddaganga Institute of TechnologyMore Details |  |,National Law School of India UniversityMore Details |  |
Siddaganga Institute of TechnologyMore Details |  |,Christ UniversityMore Details |  |
C.V. Raman Global UniversityMore Details |  |,Kalinga Institute of Industrial TechnologyMore Details |  |
C.V. Raman Global UniversityMore Details |  |,National Law UniversityMore Details |  |
PES UniversityMore Details |  |,National Law School of India UniversityMore Details |  |
PES UniversityMore Details |  |,Christ UniversityMore Details |  |
Jaypee Institute of Information TechnologyMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Jaypee Institute of Information TechnologyMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Jaypee Institute of Information TechnologyMore Details |  |,Banaras Hindu UniversityMore Details |  |
Bharati Vidyapeeth Deemed University College of EngineeringMore Details |  |,Symbiosis Law SchoolMore Details |  |
Atal Bihari Vajpayee Indian Institute of Information Technology and ManagementMore Details |  |,"National Law Institute University, BhopalMore Details |  |"
Dayalbagh Educational InstituteMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Dayalbagh Educational InstituteMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Dayalbagh Educational InstituteMore Details |  |,Banaras Hindu UniversityMore Details |  |
Indian Institute of Information Technology AllahabadMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Indian Institute of Information Technology AllahabadMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Indian Institute of Information Technology AllahabadMore Details |  |,Banaras Hindu UniversityMore Details |  |
Punjab Technical UniversityMore Details |  |,The Rajiv Gandhi National University of LawMore Details |  |
Army Institute of TechnologyMore Details |  |,Symbiosis Law SchoolMore Details |  |
Dhirubhai Ambani Institute of Information and Communication TechnologyMore Details |  |,Gujarat National Law UniversityMore Details |  |
Shri Ramdeobaba College of Engineering and ManagementMore Details |  |,Symbiosis Law SchoolMore Details |  |
New Horizon College of EngineeringMore Details |  |,National Law School of India UniversityMore Details |  |
New Horizon College of EngineeringMore Details |  |,Christ UniversityMore Details |  |
Maharaja Sayajirao University of BarodaMore Details |  |,Gujarat National Law UniversityMore Details |  |
Jain UniversityMore Details |  |,National Law School of India UniversityMore Details |  |
Jain UniversityMore Details |  |,Christ UniversityMore Details |  |
Veer Surendra Sai University of TechnologyMore Details |  |,Kalinga Institute of Industrial TechnologyMore Details |  |
Veer Surendra Sai University of TechnologyMore Details |  |,National Law UniversityMore Details |  |
Chaitanya Bharathi Institute of TechnologyMore Details |  |,Nalsar University of LawMore Details |  |
Bharatiya Vidya Bhavan`s Sardar Patel Institute of TechnologyMore Details |  |,Symbiosis Law SchoolMore Details |  |
Dayananda Sagar College of EngineeringMore Details |  |,National Law School of India UniversityMore Details |  |
Dayananda Sagar College of EngineeringMore Details |  |,Christ UniversityMore Details |  |
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and TechnologyMore Details |  |,Nalsar University of LawMore Details |  |
Nitte Meenakshi Institute of TechnologyMore Details |  |,National Law School of India UniversityMore Details |  |
Nitte Meenakshi Institute of TechnologyMore Details |  |,Christ UniversityMore Details |  |
Nirma UniversityMore Details |  |,Gujarat National Law UniversityMore Details |  |
JSS Science and Technology UniversityMore Details |  |,National Law School of India UniversityMore Details |  |
JSS Science and Technology UniversityMore Details |  |,Christ UniversityMore Details |  |
N M A M Institute of TechnologyMore Details |  |,National Law School of India UniversityMore Details |  |
N M A M Institute of TechnologyMore Details |  |,Christ UniversityMore Details |  |
Rajiv Gandhi Institute of Petroleum TechnologyMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Rajiv Gandhi Institute of Petroleum TechnologyMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Rajiv Gandhi Institute of Petroleum TechnologyMore Details |  |,Banaras Hindu UniversityMore Details |  |
KLE Technological UniversityMore Details |  |,National Law School of India UniversityMore Details |  |
KLE Technological UniversityMore Details |  |,Christ UniversityMore Details |  |
Sant Longowal Institute of Engineering & TechnologyMore Details |  |,The Rajiv Gandhi National University of LawMore Details |  |
Dr. Vishwanath Karad MIT World Peace UniversityMore Details |  |,Symbiosis Law SchoolMore Details |  |
G. H. Raisoni College of EngineeringMore Details |  |,Symbiosis Law SchoolMore Details |  |
Yeshwantrao Chavan College of EngineeringMore Details |  |,Symbiosis Law SchoolMore Details |  |
CVR College Of EngineeringMore Details |  |,Nalsar University of LawMore Details |  |
Vardhaman College of EngineeringMore Details |  |,Nalsar University of LawMore Details |  |
The Rashtrasant Tukadoji Maharaj Nagpur UniversityMore Details |  |,Symbiosis Law SchoolMore Details |  |
Indira Gandhi Delhi Technical University for WomenMore Details |  |,National Law UniversityMore Details |  |
Indira Gandhi Delhi Technical University for WomenMore Details |  |,Jamia Millia IslamiaMore Details |  |
Indira Gandhi Delhi Technical University for WomenMore Details |  |,Indian Law InstituteMore Details |  |
P E S College of EngineeringMore Details |  |,National Law School of India UniversityMore Details |  |
P E S College of EngineeringMore Details |  |,Christ UniversityMore Details |  |
SVKM`s Narsee Monjee Institute of Management StudiesMore Details |  |,Symbiosis Law SchoolMore Details |  |
Heritage Institute of TechnologyMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |
Heritage Institute of TechnologyMore Details |  |,The West Bengal National University of Juridicial SciencesMore Details |  |
Maulana Abul Kalam Azad University of TechnologyMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |
Maulana Abul Kalam Azad University of TechnologyMore Details |  |,The West Bengal National University of Juridicial SciencesMore Details |  |
Alliance UniversityMore Details |  |,National Law School of India UniversityMore Details |  |
Alliance UniversityMore Details |  |,Christ UniversityMore Details |  |
SR Engineering CollegeMore Details |  |,Nalsar University of LawMore Details |  |
Amity University GwaliorMore Details |  |,"National Law Institute University, BhopalMore Details |  |"
Haldia Institute of TechnologyMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |
Haldia Institute of TechnologyMore Details |  |,The West Bengal National University of Juridicial SciencesMore Details |  |
Vishwakarma Institute of TechnologyMore Details |  |,Symbiosis Law SchoolMore Details |  |
Harcourt Butler Technical UniversityMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Harcourt Butler Technical UniversityMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Harcourt Butler Technical UniversityMore Details |  |,Banaras Hindu UniversityMore Details |  |
Walchand College of EngineeringMore Details |  |,Symbiosis Law SchoolMore Details |  |
BMS Institute of Technology & ManagementMore Details |  |,National Law School of India UniversityMore Details |  |
BMS Institute of Technology & ManagementMore Details |  |,Christ UniversityMore Details |  |
Institute of Aeronautical EngineeringMore Details |  |,Nalsar University of LawMore Details |  |
K. J. Somaiya College of EngineeringMore Details |  |,Symbiosis Law SchoolMore Details |  |
Goka Raju Ranga Raju Institute of Engineering & TechnologyMore Details |  |,Nalsar University of LawMore Details |  |
Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for WomenMore Details |  |,Symbiosis Law SchoolMore Details |  |
The National Institute of EngineeringMore Details |  |,National Law School of India UniversityMore Details |  |
The National Institute of EngineeringMore Details |  |,Christ UniversityMore Details |  |
Pandit Deendayal Petroleum UniversityMore Details |  |,Gujarat National Law UniversityMore Details |  |
"Silicon Institute of Technology (SIT), BhubaneswarMore Details |  |",Kalinga Institute of Industrial TechnologyMore Details |  |
"Silicon Institute of Technology (SIT), BhubaneswarMore Details |  |",National Law UniversityMore Details |  |
Anurag Group of InstitutionsMore Details |  |,Nalsar University of LawMore Details |  |
Chitkara UniversityMore Details |  |,The Rajiv Gandhi National University of LawMore Details |  |
Madan Mohan Malaviya University of TechnologyMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Madan Mohan Malaviya University of TechnologyMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Madan Mohan Malaviya University of TechnologyMore Details |  |,Banaras Hindu UniversityMore Details |  |
BNM Institute of TechnologyMore Details |  |,National Law School of India UniversityMore Details |  |
BNM Institute of TechnologyMore Details |  |,Christ UniversityMore Details |  |
Vasavi College of EngineeringMore Details |  |,Nalsar University of LawMore Details |  |
Institute of Engineering & ManagementMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |
Institute of Engineering & ManagementMore Details |  |,The West Bengal National University of Juridicial SciencesMore Details |  |
Dharmsinh Desai UniversityMore Details |  |,Gujarat National Law UniversityMore Details |  |
The LNM Institute of Information TechnologyMore Details |  |,National Law UniversityMore Details |  |
Dr. D. Y. Patil Institute of TechnologyMore Details |  |,Symbiosis Law SchoolMore Details |  |
Pimpri Chinchwad College of EngineeringMore Details |  |,Symbiosis Law SchoolMore Details |  |
Ramrao Adik Institute of TechnologyMore Details |  |,Symbiosis Law SchoolMore Details |  |
BVRIT HyderabadMore Details |  |,Nalsar University of LawMore Details |  |
